Pos,ID,Name,BV,SV,Team,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,Elite%
D,210,Mitchell,4.9,4.9,Crystal Palace,85,2.79,83,1.76,82,2.54,82,2.15,80,2.81,81,3.08,79,1.98,80,2.36,81,2.82,80,1.64,81,1.97,82,2.02,0.00
D,211,Muñoz,4.9,4.9,Crystal Palace,88,3.08,86,1.98,83,2.75,82,2.35,82,3.14,81,3.29,79,2.16,79,2.61,80,3.07,78,1.69,78,2.09,74,1.99,0.05
M,212,Ozoh,4.5,4.5,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,213,Rak-Sakyi,4.5,4.5,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,214,Schlupp,4.8,4.8,Crystal Palace,8,0.44,11,0.49,12,0.54,8,0.44,8,0.45,8,0.46,8,0.43,9,0.47,8,0.44,9,0.41,9,0.43,8,0.40,0.00
D,215,Ward,4.4,4.4,Crystal Palace,14,0.48,16,0.42,14,0.48,12,0.36,11,0.40,11,0.42,13,0.39,12,0.39,12,0.45,14,0.36,13,0.40,13,0.40,0.00
M,216,Wharton,4.9,4.9,Crystal Palace,78,2.63,75,2.25,72,2.39,71,2.34,68,2.41,69,2.50,68,2.18,70,2.46,70,2.44,69,2.01,69,2.17,69,2.07,0.00
M,217,A.Doucoure,5.2,5.2,Everton,36,1.71,41,1.84,41,1.84,44,1.98,44,2.01,46,1.86,43,1.98,44,1.70,44,2.16,44,1.72,44,1.49,46,1.91,0.00
F,218,Beto,5.0,5.0,Everton,20,1.28,22,1.35,23,1.46,23,1.43,24,1.54,23,1.33,24,1.55,23,1.25,23,1.63,23,1.23,23,1.09,27,1.61,0.00
D,219,Branthwaite,4.8,4.8,Everton,63,2.00,87,2.26,84,2.51,84,2.71,82,2.35,81,1.86,80,2.56,80,1.40,80,2.92,79,1.37,81,1.11,80,1.74,0.00
F,220,Calvert-Lewin,6.0,6.0,Everton,82,4.52,78,4.13,74,3.90,71,3.83,69,3.87,68,3.38,67,3.85,68,3.04,67,4.21,69,3.10,66,2.45,68,3.54,0.13
D,221,Coleman,4.4,4.4,Everton,0,0.00,0,0.00,14,0.52,30,1.15,35,1.24,36,1.06,36,1.32,36,0.87,36,1.47,36,0.85,33,0.70,36,1.04,0.00
M,222,Gana,4.9,4.9,Everton,62,1.91,60,1.78,60,1.82,58,1.77,56,1.73,57,1.64,57,1.78,57,1.56,55,1.80,56,1.52,57,1.46,56,1.60,0.00
M,223,Garner,5.0,5.0,Everton,42,1.48,42,1.43,42,1.47,40,1.43,40,1.45,41,1.37,41,1.54,45,1.37,44,1.69,45,1.40,45,1.25,46,1.52,0.00
M,224,Harrison,5.3,5.3,Everton,57,2.68,54,2.49,55,2.49,51,2.39,53,2.50,53,2.24,51,2.48,52,2.06,54,2.75,51,2.03,51,1.79,51,2.26,0.00
D,225,Holgate,4.0,4.0,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,226,Iroegbunam,4.5,4.5,Everton,39,1.38,39,1.34,40,1.36,40,1.41,40,1.39,41,1.35,42,1.45,41,1.29,41,1.50,40,1.27,41,1.19,40,1.30,0.01
G,227,J.Virginia,4.0,4.0,Everton,0,0.00,1,0.04,1,0.05,2,0.06,3,0.10,2,0.07,2,0.08,2,0.06,3,0.11,3,0.09,2,0.08,2,0.07,0.03
D,228,Keane,4.0,4.0,Everton,32,1.13,14,0.41,15,0.51,18,0.62,19,0.61,19,0.50,19,0.66,19,0.40,20,0.80,20,0.42,20,0.36,20,0.51,0.00
F,229,Maupay,4.9,4.9,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,230,McNeil,5.5,5.5,Everton,84,3.81,81,3.42,78,3.37,77,3.46,78,3.45,75,2.97,75,3.42,77,2.82,75,3.73,77,2.84,77,2.37,77,3.13,0.01
D,231,Mykolenko,4.3,4.3,Everton,90,2.97,87,2.46,82,2.72,80,2.86,79,2.56,78,2.05,79,2.73,77,1.57,78,3.13,78,1.54,78,1.24,77,1.91,0.04
F,232,Ndiaye,5.4,5.4,Everton,72,3.14,69,2.93,69,2.93,68,2.96,67,3.00,65,2.67,67,3.02,66,2.50,66,3.14,65,2.42,66,2.14,67,2.79,0.00
M,233,Onana,5.2,5.2,Aston Villa,76,2.61,74,2.41,58,1.97,41,1.61,38,1.31,38,1.25,37,1.47,38,1.32,40,1.58,38,1.64,39,1.45,38,1.25,0.00
D,234,Patterson,4.4,4.4,Everton,5,0.17,16,0.50,20,0.70,18,0.63,16,0.55,18,0.54,17,0.60,19,0.48,19,0.74,19,0.47,19,0.42,20,0.56,0.00
G,235,Pickford,4.8,4.8,Everton,93,3.43,93,3.19,92,3.40,92,3.42,91,3.28,91,3.11,90,3.32,90,2.95,90,3.49,90,2.87,90,2.93,91,3.01,0.00
D,236,Tarkowski,4.8,4.8,Everton,92,2.94,88,2.33,88,2.67,86,2.82,85,2.52,85,1.99,85,2.73,84,1.47,84,3.16,84,1.47,82,1.14,82,1.84,0.00
F,237,Y. Chermiti,4.9,4.9,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,238,Young,4.5,4.5,Everton,77,2.78,70,2.14,61,2.11,55,2.07,55,1.92,52,1.45,51,1.89,52,1.16,51,2.13,50,1.11,53,0.95,52,1.40,0.00
M,239,Adama,5.1,5.1,Fulham,70,3.04,68,2.29,66,3.08,63,2.92,64,3.16,62,2.64,61,3.24,60,2.34,61,2.80,64,2.39,59,2.12,58,3.24,0.00
M,240,Andreas,5.3,5.3,Fulham,77,3.25,75,2.54,73,3.41,73,3.29,71,3.63,70,2.98,69,3.77,70,2.72,67,3.17,70,2.65,66,2.39,66,3.74,0.00
D,241,Bassey,4.5,4.5,Fulham,89,2.60,86,1.14,83,2.52,81,2.59,80,2.77,80,2.24,79,3.14,78,1.39,78,2.39,78,1.86,78,1.11,79,3.04,0.00
G,242,Benda,4.0,4.0,Fulham,0,0.00,2,0.07,4,0.14,4,0.13,4,0.15,4,0.16,3,0.14,4,0.14,4,0.15,4,0.14,4,0.14,4,0.17,0.01
M,243,Cairney,4.9,4.9,Fulham,9,0.47,10,0.45,12,0.57,13,0.60,15,0.72,15,0.68,16,0.83,16,0.72,18,0.85,23,0.95,19,0.78,18,0.95,0.00
D,244,Castagne,4.3,4.3,Fulham,9,0.30,16,0.33,18,0.64,21,0.77,23,0.94,25,0.84,26,1.21,27,0.66,30,1.11,31,0.92,29,0.60,26,1.21,0.00
D,245,Diop,4.5,4.5,Fulham,10,0.31,13,0.22,18,0.57,21,0.68,22,0.77,21,0.62,23,0.94,25,0.49,25,0.79,23,0.60,25,0.42,24,0.96,0.00
M,246,Harris,4.5,4.5,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,247,Iwobi,5.5,5.5,Fulham,85,3.26,82,2.53,80,3.35,79,3.26,78,3.50,78,2.97,76,3.61,77,2.69,76,3.09,77,2.63,77,2.47,75,3.75,0.00
G,248,Leno,5.0,5.0,Fulham,95,3.50,93,3.06,91,3.35,91,3.52,91,3.51,91,3.30,91,3.77,91,2.97,91,3.33,91,3.13,90,2.98,90,3.69,0.00
M,249,Lukić,5.0,5.0,Fulham,60,2.07,57,1.70,50,1.86,46,1.72,46,1.82,46,1.64,46,1.90,45,1.50,47,1.76,47,1.57,46,1.46,48,2.04,0.00
D,250,Mbabu,4.0,4.0,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,251,Muniz,5.9,5.9,Fulham,29,1.61,36,1.56,38,2.13,38,2.14,39,2.33,37,1.93,38,2.41,38,1.81,40,2.20,41,1.85,39,1.72,40,2.69,0.11
F,252,Raúl,5.5,5.5,Fulham,71,3.44,64,2.49,60,3.17,57,2.98,56,3.17,56,2.68,55,3.42,56,2.56,55,2.96,53,2.28,56,2.33,53,3.45,0.00
D,253,Ream,4.5,4.5,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,254,Reed,4.9,4.9,Fulham,10,0.44,13,0.48,14,0.57,14,0.56,15,0.62,17,0.68,17,0.73,18,0.71,19,0.77,23,0.83,20,0.72,18,0.80,0.00
D,255,Robinson,4.7,4.7,Fulham,88,2.70,82,1.16,81,2.67,80,2.68,76,2.85,77,2.27,76,3.27,75,1.42,74,2.44,74,1.92,75,1.14,74,3.12,0.38
F,256,Stansfield,5.0,5.0,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,257,Tete,4.5,4.5,Fulham,84,2.74,78,1.19,77,2.60,74,2.58,74,2.83,70,2.19,69,3.06,68,1.39,66,2.22,66,1.75,67,1.10,68,2.98,0.00
F,258,Vinicius,5.0,5.0,Fulham,0,0.00,3,0.22,5,0.34,6,0.41,6,0.47,7,0.44,7,0.55,8,0.46,7,0.45,9,0.49,8,0.44,9,0.64,0.00
M,259,Wilson,5.3,5.3,Fulham,8,0.51,10,0.52,13,0.76,15,0.85,15,0.90,16,0.87,17,1.10,18,0.92,16,0.93,27,1.23,18,0.88,18,1.22,0.00
F,260,Al-Hamadi,4.9,4.9,Ipswich,0,0.00,2,0.16,2,0.19,3,0.24,3,0.24,4,0.26,4,0.31,4,0.27,3,0.28,5,0.38,5,0.35,5,0.39,0.00
D,261,Baggott,4.0,4.0,Ipswich,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,262,Broadhead,4.9,4.9,Ipswich,8,0.51,11,0.59,10,0.64,12,0.64,13,0.78,13,0.63,15,0.83,13,0.71,15,0.89,15,0.91,15,0.83,15,0.88,0.00
D,263,Burgess,4.0,4.0,Ipswich,6,0.19,8,0.24,12,0.41,12,0.32,13,0.46,15,0.26,15,0.39,16,0.45,16,0.53,18,0.58,18,0.55,17,0.44,0.00
M,264,Burns,4.9,4.9,Ipswich,55,2.35,50,2.02,48,2.29,48,1.93,48,2.21,47,1.76,46,1.96,46,1.89,45,2.02,49,2.27,45,1.94,47,2.05,0.00
M,265,Chaplin,5.3,5.3,Ipswich,13,0.75,14,0.79,15,0.98,18,1.03,17,1.10,17,0.89,19,1.10,18,0.98,20,1.19,20,1.25,21,1.23,20,1.20,0.00
D,266,H.Clarke,4.0,4.0,Ipswich,0,0.00,1,0.05,2,0.07,3,0.09,3,0.12,4,0.08,4,0.13,4,0.13,5,0.17,5,0.16,5,0.15,4,0.12,0.00
D,267,Davis,4.5,4.5,Ipswich,87,2.81,83,2.53,83,3.61,80,2.34,79,3.47,78,1.39,77,2.32,79,2.45,77,2.87,76,2.88,76,2.71,76,2.30,0.00
F,268,Delap,5.5,5.5,Ipswich,64,3.20,61,2.87,60,3.25,59,2.77,56,3.04,56,2.37,55,2.72,57,2.65,55,2.81,56,2.98,56,2.83,53,2.73,0.00
D,269,Edmundson,4.0,4.0,Ipswich,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,270,Greaves,4.0,4.0,Ipswich,89,2.25,85,2.01,83,2.83,83,1.93,81,2.82,81,1.04,80,1.86,78,1.98,78,2.37,77,2.31,77,2.15,78,1.77,0.04
M,271,Harness,4.9,4.9,Ipswich,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,272,Hirst,5.4,5.4,Ipswich,30,1.71,31,1.68,32,1.95,31,1.64,34,2.05,33,1.60,33,1.79,33,1.70,34,1.89,32,1.91,31,1.75,33,1.85,0.00
M,273,Humphreys,4.5,4.5,Ipswich,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,274,Hutchinson,5.4,5.4,Ipswich,80,3.19,75,2.93,72,3.33,71,2.74,69,3.13,70,2.42,67,2.70,68,2.60,67,2.85,68,2.99,67,2.76,66,2.70,0.00
D,275,Johnson,4.0,4.0,Ipswich,28,0.88,32,0.96,35,1.34,34,0.97,35,1.39,38,0.70,38,1.10,38,1.14,39,1.33,38,1.31,37,1.22,39,1.10,0.13
F,276,Ladapo,4.5,4.5,Ipswich,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,277,Luongo,4.5,4.5,Ipswich,15,0.59,10,0.44,12,0.52,13,0.50,14,0.58,17,0.65,16,0.66,16,0.64,17,0.70,15,0.64,18,0.72,15,0.62,0.00
M,278,Morsy,4.9,4.9,Ipswich,87,2.25,81,2.04,75,2.11,72,1.82,70,1.99,69,1.62,71,1.84,69,1.74,69,1.90,70,1.93,70,1.85,72,1.87,0.00
D,279,Ndaba,4.0,4.0,Ipswich,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,280,Slicker,4.0,4.0,Ipswich,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.04
M,281,Taylor,4.9,4.9,Ipswich,5,0.29,4,0.26,7,0.37,7,0.38,9,0.45,9,0.41,9,0.42,10,0.46,8,0.41,11,0.50,11,0.47,10,0.46,0.00
D,282,Tuanzebe,4.0,4.0,Ipswich,74,1.93,72,1.75,69,2.37,65,1.58,66,2.34,65,0.89,62,1.51,65,1.70,64,2.00,64,1.97,63,1.82,62,1.48,0.00
G,283,Walton,4.4,4.4,Ipswich,1,0.04,3,0.10,3,0.13,4,0.12,3,0.12,4,0.14,5,0.15,6,0.21,5,0.19,5,0.19,4,0.14,5,0.17,0.00
D,284,Woolfenden,4.0,4.0,Ipswich,21,0.52,26,0.62,28,0.92,32,0.73,32,1.10,32,0.43,35,0.79,35,0.85,34,0.98,33,0.93,33,0.90,34,0.76,0.00
M,285,B.Soumaré,4.5,4.5,Leicester,2,0.06,4,0.14,4,0.15,5,0.16,6,0.20,6,0.20,9,0.29,8,0.26,8,0.28,13,0.41,9,0.28,9,0.32,0.00
F,286,Cannon,4.5,4.5,Leicester,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.01
M,287,Choudhury,4.4,4.4,Leicester,4,0.13,8,0.27,10,0.34,8,0.29,11,0.36,11,0.38,13,0.43,14,0.45,14,0.46,14,0.47,14,0.44,14,0.49,0.00
D,288,Coady,4.0,4.0,Leicester,9,0.16,10,0.28,5,0.13,6,0.20,7,0.19,7,0.15,9,0.21,9,0.23,9,0.28,9,0.23,10,0.20,9,0.30,0.00
F,289,Daka,4.9,4.9,Leicester,0,0.00,0,0.00,17,1.06,31,1.87,32,1.81,34,1.65,32,1.80,33,1.73,33,1.96,35,1.95,33,1.69,33,2.15,0.00
M,290,De Cordova-Reid,5.3,5.3,Leicester,11,0.52,14,0.79,15,0.82,15,0.83,14,0.77,15,0.74,15,0.76,17,0.88,16,0.88,19,0.98,17,0.85,17,0.98,0.00
D,291,Faes,4.1,4.0,Leicester,91,1.30,88,2.42,86,2.53,84,2.86,83,2.51,83,1.50,81,1.85,81,2.01,81,2.51,79,2.18,80,1.40,80,2.96,0.12
M,292,Golding,4.5,4.5,Leicester,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,293,Hermansen,4.5,4.5,Leicester,94,3.08,94,3.32,92,3.40,92,3.52,92,3.46,91,3.03,91,3.10,91,3.18,90,3.31,90,3.22,90,3.01,90,3.58,0.00
G,294,Iversen,4.0,4.0,Leicester,0,0.00,0,0.00,2,0.06,2,0.06,2,0.06,2,0.07,2,0.06,2,0.08,3,0.10,2,0.08,3,0.09,2,0.09,0.03
D,295,Justin,4.5,4.5,Leicester,85,1.32,80,2.39,77,2.46,75,2.80,73,2.42,73,1.50,70,1.75,73,1.99,72,2.43,72,2.15,71,1.43,71,2.88,0.00
D,296,Kristiansen,4.5,4.5,Leicester,82,1.29,79,2.38,78,2.47,73,2.70,73,2.38,75,1.51,73,1.80,72,1.95,70,2.35,70,2.09,70,1.37,70,2.78,0.00
M,297,Marcal,4.5,4.5,Leicester,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,298,Mavididi,5.3,5.3,Leicester,70,2.44,64,3.38,57,2.99,56,2.91,56,2.80,54,2.29,55,2.67,55,2.53,56,2.93,54,2.67,55,2.41,55,3.13,0.02
M,299,McAteer,4.9,4.9,Leicester,1,0.11,3,0.23,4,0.31,3,0.26,5,0.37,5,0.33,6,0.40,6,0.36,6,0.42,12,0.63,7,0.43,7,0.47,0.00
M,300,Ndidi,5.0,5.0,Leicester,77,1.98,73,2.39,72,2.36,71,2.39,68,2.19,67,1.94,67,2.07,66,2.05,64,2.17,66,2.09,63,1.84,62,2.26,0.00
D,301,Okoli,4.0,4.0,Leicester,91,1.21,85,2.21,83,2.38,81,2.60,80,2.36,77,1.34,76,1.63,74,1.79,73,2.17,74,2.00,74,1.26,73,2.60,0.00
D,302,Ricardo,4.3,4.3,Leicester,10,0.19,13,0.41,16,0.53,19,0.77,19,0.66,18,0.45,22,0.63,19,0.57,21,0.76,21,0.70,22,0.54,22,0.92,0.00
D,303,Souttar,4.0,4.0,Leicester,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,304,Stolarczyk,4.0,4.0,Leicester,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.01
D,305,Thomas,4.0,4.0,Leicester,13,0.30,15,0.50,16,0.55,18,0.67,19,0.68,17,0.46,18,0.53,20,0.64,20,0.72,22,0.73,21,0.53,20,0.81,0.00
F,306,Vardy,5.7,5.7,Leicester,80,2.88,79,4.44,71,3.92,63,3.56,63,3.30,60,2.73,59,3.10,59,2.88,59,3.42,58,3.09,59,2.77,59,3.67,0.15
D,307,Vestergaard,4.0,4.0,Leicester,0,0.00,7,0.19,17,0.52,20,0.68,21,0.70,25,0.50,25,0.61,26,0.71,28,0.91,28,0.82,27,0.55,29,1.11,0.00
G,308,Ward,4.0,4.0,Leicester,0,0.00,0,0.00,1,0.04,1,0.05,1,0.05,2,0.05,2,0.08,2,0.08,2,0.08,3,0.11,2,0.08,3,0.11,0.00
M,309,Winks,4.5,4.5,Leicester,82,1.95,79,2.36,77,2.32,76,2.36,75,2.21,73,1.88,72,2.05,73,2.02,72,2.18,75,2.15,72,1.90,72,2.35,0.29
G,310,A.Becker,5.5,5.5,Liverpool,90,3.83,92,3.78,92,3.56,91,3.36,91,3.75,90,3.70,91,3.86,91,3.36,92,3.42,91,3.86,91,4.01,91,3.28,0.01
D,311,Alexander-Arnold,7.1,7.0,Liverpool,85,5.00,82,4.31,80,4.01,78,2.68,76,4.22,76,4.23,76,4.49,77,2.92,76,3.27,75,4.22,74,4.52,74,2.82,0.78
M,312,Bajcetic,4.5,4.5,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,313,Bradley,4.8,4.8,Liverpool,15,0.74,17,0.85,20,0.98,22,0.85,23,1.17,21,1.09,22,1.21,21,0.87,23,1.02,24,1.26,25,1.39,24,0.96,0.00
M,314,Carvalho,4.8,4.8,Brentford,68,3.90,69,3.88,61,2.77,57,3.60,57,2.89,56,3.34,46,2.61,41,2.56,37,1.90,36,2.10,34,1.71,35,2.08,0.00
M,315,Clark,4.5,4.5,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,316,Darwin,7.2,7.2,Liverpool,38,2.75,49,3.14,50,3.35,48,2.21,50,3.25,49,3.36,48,3.49,47,2.33,50,3.06,48,3.32,47,3.27,47,2.72,0.00
M,317,Diogo J.,7.5,7.5,Liverpool,55,4.03,47,3.05,46,3.13,48,2.27,47,3.22,47,3.30,45,3.40,45,2.32,45,2.86,46,3.19,48,3.53,46,2.66,0.28
M,318,Doak,4.5,4.5,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,319,Elliott,5.2,5.2,Liverpool,0,0.00,0,0.00,6,0.35,14,0.66,20,1.14,22,1.28,22,1.36,21,1.00,22,1.20,23,1.30,22,1.32,23,1.15,0.00
M,320,Endo,4.8,4.8,Liverpool,12,0.56,14,0.60,14,0.63,14,0.56,14,0.63,16,0.68,15,0.70,15,0.59,16,0.67,17,0.73,17,0.77,15,0.60,0.00
F,321,Gakpo,7.2,7.2,Liverpool,23,1.71,26,1.66,25,1.74,29,1.41,27,1.87,29,1.96,31,2.19,32,1.68,30,1.82,30,1.99,30,2.06,31,1.81,0.00
D,322,Gomez,4.8,4.8,Liverpool,4,0.13,9,0.29,10,0.34,13,0.36,16,0.58,15,0.55,18,0.73,16,0.47,17,0.53,16,0.64,16,0.69,17,0.49,0.00
M,323,Gravenberch,5.0,5.0,Liverpool,80,3.32,78,2.99,76,2.97,72,2.27,71,2.89,72,2.91,71,2.97,72,2.36,69,2.53,69,2.78,69,2.91,69,2.43,0.00
M,324,Jones,5.3,5.3,Liverpool,24,1.26,25,1.23,25,1.24,23,0.97,26,1.26,24,1.23,27,1.35,28,1.15,28,1.26,28,1.33,28,1.40,28,1.20,0.00
G,325,Kelleher,4.4,4.4,Liverpool,5,0.23,3,0.12,2,0.09,4,0.13,3,0.13,5,0.18,4,0.15,4,0.13,3,0.13,4,0.15,3,0.15,4,0.14,0.00
D,326,Konaté,5.1,5.1,Liverpool,75,3.20,70,2.73,69,2.42,68,1.79,66,2.59,64,2.52,64,2.68,65,1.88,62,1.87,62,2.52,59,2.66,63,1.72,0.00
M,327,Luis Díaz,8.0,8.0,Liverpool,75,4.84,71,4.07,67,4.14,64,2.79,63,3.97,62,3.98,62,4.22,61,2.88,61,3.41,62,3.88,61,4.04,61,3.24,0.01
M,328,M.Salah,12.8,12.6,Liverpool,87,7.31,84,6.10,82,6.56,82,4.31,80,6.60,80,6.64,80,6.93,80,4.67,80,5.60,78,6.12,78,6.69,78,4.97,0.86
M,329,Mac Allister,6.3,6.3,Liverpool,84,3.77,81,3.34,81,3.49,80,2.59,79,3.51,77,3.46,75,3.55,77,2.70,75,2.99,74,3.27,75,3.55,76,2.77,0.00
M,330,McConnell,4.5,4.5,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,331,Morton,4.5,4.5,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.07,1,0.07,0,0.00,1,0.09,1,0.08,2,0.11,1,0.07,0.00
D,332,N.Phillips,4.0,4.0,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,333,Quansah,4.1,4.1,Liverpool,21,0.94,27,1.12,29,1.13,30,0.92,32,1.32,34,1.43,33,1.46,32,1.05,36,1.21,35,1.53,39,1.77,35,1.08,0.13
D,334,R.Williams,4.0,4.0,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,335,Robertson,6.0,6.0,Liverpool,83,4.56,78,3.97,77,3.57,76,2.51,74,3.85,74,3.89,75,4.18,74,2.69,74,2.95,73,3.90,72,4.17,72,2.63,0.25
M,336,Szoboszlai,6.5,6.5,Liverpool,73,4.23,72,3.77,70,3.87,67,2.71,66,3.69,65,3.71,63,3.77,62,2.66,62,3.15,62,3.48,61,3.65,63,2.98,0.00
D,337,Tsimikas,4.7,4.7,Liverpool,9,0.48,13,0.62,15,0.69,15,0.55,16,0.80,17,0.86,17,0.89,18,0.68,18,0.74,19,0.99,19,1.04,19,0.74,0.00
D,338,Van den Berg,4.0,4.0,Brentford,48,1.65,48,1.84,45,1.01,38,1.64,38,1.20,39,1.44,38,1.29,38,1.57,39,0.99,40,1.19,38,0.77,39,1.49,0.00
D,339,Virgil,6.0,6.0,Liverpool,92,4.10,89,3.61,86,3.16,84,2.29,82,3.42,82,3.42,80,3.56,81,2.38,81,2.57,82,3.55,82,3.79,82,2.33,0.01
D,340,Akanji,5.5,5.5,Man City,77,2.95,77,3.81,71,3.65,65,3.68,61,2.75,64,2.61,64,2.71,62,1.98,63,3.33,62,2.81,63,2.95,62,2.59,0.00
D,341,Aké,5.3,5.3,Man City,0,0.00,0,0.00,21,1.13,45,2.63,58,2.83,58,2.60,56,2.54,57,1.96,59,3.35,58,2.79,59,2.89,58,2.59,0.00
M,342,Bernardo,6.5,6.5,Man City,76,3.55,70,3.82,67,3.55,60,3.78,57,2.83,58,2.69,60,3.01,59,2.33,61,3.35,62,3.00,57,2.93,57,2.57,0.00
M,343,Bobb,4.8,4.8,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,9,0.60,20,1.27,0.00
G,344,Carson,4.0,4.0,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,345,De Bruyne,9.5,9.5,Man City,0,0.00,0,0.00,18,1.30,55,4.84,71,4.68,70,4.24,69,4.58,70,3.71,69,5.22,70,4.48,68,4.83,68,4.15,0.00
M,346,Doku,6.4,6.4,Man City,55,3.12,56,3.58,52,3.30,47,3.54,45,2.64,44,2.42,43,2.57,45,2.16,44,2.95,42,2.46,43,2.68,43,2.39,0.00
G,347,Ederson M.,5.5,5.5,Man City,93,3.60,91,4.04,89,4.01,88,4.18,89,3.74,88,3.59,88,3.56,87,3.17,88,4.09,87,3.70,86,3.62,87,3.53,0.02
M,348,Foden,9.3,9.3,Man City,43,2.87,55,4.21,66,4.94,74,6.56,73,4.78,71,4.25,71,4.76,69,3.58,70,5.20,69,4.37,71,4.89,71,4.25,0.00
